
print_multiple_paths
start room: Sjx1
room: Xlq8 room->path:0x7ff26a5edce0 child_room:Gv_6 level:60				total_steps_of_path:0 min_ants:0
room: Gv_6 room->path:0x7ff26a5f0940 child_room:K_l7 level:61				total_steps_of_path:0 min_ants:0
room: K_l7 room->path:0x7ff26a5f1390 child_room:Xpx0 level:62				total_steps_of_path:0 min_ants:0
room: Xpx0 room->path:0x7ff26a447fc0 child_room:Xkn5 level:63				total_steps_of_path:0 min_ants:0
room: Xkn5 room->path:0x7ff26a448bf0 child_room:G_u8 level:64				total_steps_of_path:0 min_ants:0
room: G_u8 room->path:0x7ff26a449cd0 child_room:M_d7 level:65				total_steps_of_path:0 min_ants:0
room: M_d7 room->path:0x7ff26a44a720 child_room:Muj5 level:66				total_steps_of_path:0 min_ants:0
room: Muj5 room->path:0x7ff26a44b1c0 child_room:Mey9 level:67				total_steps_of_path:0 min_ants:0
room: Mey9 room->path:0x7ff26a44bc10 child_room:Txl5 level:68				total_steps_of_path:0 min_ants:0
room: Txl5 room->path:0x7ff26a44c660 child_room:Isd7 level:69				total_steps_of_path:0 min_ants:0
room: Isd7 room->path:0x7ff26a44d0b0 child_room:W_o6 level:70				total_steps_of_path:0 min_ants:0
room: W_o6 room->path:0x7ff26a44da60 child_room:Dbd0 level:71				total_steps_of_path:0 min_ants:0
room: Dbd0 room->path:0x7ff26a44e5f0 child_room:Q_z4 level:72				total_steps_of_path:0 min_ants:0
room: Q_z4 room->path:0x7ff26a44efa0 child_room:R_c6 level:73				total_steps_of_path:0 min_ants:0
room: R_c6 room->path:0x7ff26a44f900 child_room:Esv9 level:74				total_steps_of_path:0 min_ants:0
room: Esv9 room->path:0x7ff26a450350 child_room:Onu6 level:75				total_steps_of_path:0 min_ants:0
room: Onu6 room->path:0x7ff26a450d00 child_room:Sri7 level:76				total_steps_of_path:0 min_ants:0
start room: Sjx1
room: Mfn4 room->path:0x7ff26a5be440 child_room:Ndm5 level:1				total_steps_of_path:17 min_ants:1
room: Ndm5 room->path:0x7ff26a5bf2f0 child_room:Mc_6 level:2				total_steps_of_path:0 min_ants:0
room: Mc_6 room->path:0x7ff26a5c0290 child_room:Ydd1 level:3				total_steps_of_path:0 min_ants:0
room: Ydd1 room->path:0x7ff26a5c12d0 child_room:He_5 level:4				total_steps_of_path:0 min_ants:0
room: He_5 room->path:0x7ff26a5c2310 child_room:F_g2 level:5				total_steps_of_path:0 min_ants:0
room: F_g2 room->path:0x7ff26a5c3440 child_room:Exy5 level:6				total_steps_of_path:0 min_ants:0
room: Exy5 room->path:0x7ff26a5c4700 child_room:Nvx9 level:7				total_steps_of_path:0 min_ants:0
room: Nvx9 room->path:0x7ff26a5c5a60 child_room:Y_d8 level:8				total_steps_of_path:0 min_ants:0
room: Y_d8 room->path:0x7ff26a5c6dc0 child_room:Yym6 level:9				total_steps_of_path:0 min_ants:0
room: Yym6 room->path:0x7ff26a5c8120 child_room:Mmw5 level:10				total_steps_of_path:0 min_ants:0
room: Mmw5 room->path:0x7ff26a5c9520 child_room:Gj_2 level:11				total_steps_of_path:0 min_ants:0
room: Gj_2 room->path:0x7ff26a5ca920 child_room:Tl_2 level:12				total_steps_of_path:0 min_ants:0
room: Tl_2 room->path:0x7ff26a5cbd20 child_room:Nwj7 level:13				total_steps_of_path:0 min_ants:0
room: Nwj7 room->path:0x7ff26a5cd1c0 child_room:Yur9 level:14				total_steps_of_path:0 min_ants:0
room: Yur9 room->path:0x7ff26a5ce700 child_room:Emf3 level:15				total_steps_of_path:0 min_ants:0
room: Emf3 room->path:0x7ff26a5cfe70 child_room:Sri7 level:16				total_steps_of_path:0 min_ants:0
start room: Sjx1
room: Yyt2 room->path:0x7ff26a5bf3e0 child_room:Ivy1 level:1				total_steps_of_path:43 min_ants:34
room: Ivy1 room->path:0x7ff26a5c4480 child_room:Cfy0 level:2				total_steps_of_path:0 min_ants:0
room: Cfy0 room->path:0x7ff26a5bed50 child_room:Gxm2 level:3				total_steps_of_path:0 min_ants:0
room: Gxm2 room->path:0x7ff26a5bfed0 child_room:Ncz2 level:4				total_steps_of_path:0 min_ants:0
room: Ncz2 room->path:0x7ff26a5c0fb0 child_room:Nry8 level:5				total_steps_of_path:0 min_ants:0
room: Nry8 room->path:0x7ff26a5c1f00 child_room:Tim9 level:6				total_steps_of_path:0 min_ants:0
room: Tim9 room->path:0x7ff26a5c2db0 child_room:Swn7 level:7				total_steps_of_path:0 min_ants:0
room: Swn7 room->path:0x7ff26a5c3da0 child_room:Ed_0 level:8				total_steps_of_path:0 min_ants:0
room: Ed_0 room->path:0x7ff26a5c4f70 child_room:Pph6 level:9				total_steps_of_path:0 min_ants:0
